id;time;x_odom;y_odom;
1;42.626000000;-3.99802;5.87244e-05;
2;42.826000000;-3.97658;5.90362e-05;
3;43.026000000;-3.94037;-0.000536775;
4;43.227000000;-3.90438;-0.00201435;
5;43.426000000;-3.86819;-0.0042857;
6;43.626000000;-3.83232;-0.00714586;
7;43.826000000;-3.79657;-0.0104187;
8;44.026000000;-3.76653;-0.0135074;
9;44.226000000;-3.73072;-0.017456;
10;44.426000000;-3.69559;-0.0215742;
11;44.626000000;-3.66089;-0.025873;
12;44.826000000;-3.61527;-0.031725;
13;45.027000000;-3.58645;-0.0356219;
14;45.226000000;-3.55131;-0.0403852;
15;45.426000000;-3.51583;-0.0448738;
16;45.626000000;-3.4802;-0.0488361;
17;45.827000000;-3.44472;-0.0526063;
18;46.026000000;-3.40977;-0.0562897;
19;46.226000000;-3.36941;-0.0604744;
20;46.427000000;-3.33986;-0.06345;
21;46.626000000;-3.31089;-0.066302;
22;46.826000000;-3.27056;-0.0701413;
23;47.026000000;-3.23463;-0.0733757;
24;47.226000000;-3.19903;-0.0763124;
25;47.426000000;-3.16318;-0.0790514;
26;47.626000000;-3.12893;-0.0814809;
27;47.826000000;-3.09406;-0.0836452;
28;48.026000000;-3.05867;-0.085709;
29;48.226000000;-3.02443;-0.087553;
30;48.426000000;-2.9896;-0.0891874;
31;48.626000000;-2.95418;-0.0907627;
32;48.826000000;-2.91424;-0.0923475;
33;49.026000000;-2.88453;-0.0934089;
34;49.226000000;-2.85449;-0.0943709;
35;49.426000000;-2.81838;-0.0954021;
36;49.626000000;-2.77788;-0.0964018;
37;49.826000000;-2.7426;-0.0972342;
38;50.026000000;-2.70729;-0.0979775;
39;50.227000000;-2.67269;-0.0986139;
40;50.426000000;-2.63738;-0.0992055;
41;50.626000000;-2.59617;-0.099795;
42;50.826000000;-2.56031;-0.100196;
43;51.026000000;-2.53016;-0.10044;
44;51.226000000;-2.49424;-0.100504;
45;51.427000000;-2.4585;-0.0999938;
46;51.626000000;-2.42333;-0.0990461;
47;51.828000000;-2.3935;-0.0979282;
48;52.026000000;-2.35847;-0.0961661;
49;52.226000000;-2.31078;-0.0925438;
50;52.426000000;-2.28197;-0.0898051;
51;52.627000000;-2.24706;-0.0860182;
52;52.826000000;-2.21279;-0.0818557;
53;53.027000000;-2.17725;-0.0772922;
54;53.226000000;-2.14175;-0.0724937;
55;53.427000000;-2.10608;-0.0674843;
56;53.626000000;-2.07251;-0.0627204;
57;53.826000000;-2.03901;-0.0576908;
58;54.026000000;-2.00391;-0.0523662;
59;54.226000000;-1.97152;-0.0476549;
60;54.426000000;-1.9307;-0.0440085;
61;54.626000000;-1.89996;-0.0439377;
62;54.827000000;-1.87044;-0.0456557;
63;55.027000000;-1.82883;-0.0508454;
64;55.226000000;-1.79334;-0.0580494;
65;55.426000000;-1.75844;-0.067208;
66;55.627000000;-1.72394;-0.0778566;
67;55.826000000;-1.68986;-0.089705;
68;56.026000000;-1.65593;-0.102612;
69;56.226000000;-1.62247;-0.115998;
70;56.426000000;-1.58537;-0.131294;
71;56.626000000;-1.55203;-0.145261;
72;56.826000000;-1.52448;-0.156707;
73;57.026000000;-1.49685;-0.168146;
74;57.226000000;-1.45362;-0.18565;
75;57.426000000;-1.43145;-0.194369;
76;57.626000000;-1.39895;-0.206894;
77;57.827000000;-1.366;-0.219182;
78;58.026000000;-1.32116;-0.235083;
79;58.226000000;-1.29877;-0.242487;
80;58.426000000;-1.25313;-0.25552;
81;58.627000000;-1.22422;-0.262349;
82;58.826000000;-1.18966;-0.269159;
83;59.026000000;-1.15467;-0.273966;
84;59.226000000;-1.11916;-0.276808;
85;59.427000000;-1.08356;-0.277926;
86;59.627000000;-1.04231;-0.276743;
87;59.826000000;-1.00652;-0.274;
88;60.026000000;-0.972652;-0.270103;
89;60.226000000;-0.937555;-0.264373;
90;60.426000000;-0.902627;-0.257214;
91;60.626000000;-0.866909;-0.248952;
92;60.826000000;-0.832353;-0.24032;
93;61.026000000;-0.797459;-0.230878;
94;61.226000000;-0.768517;-0.222767;
95;61.427000000;-0.734112;-0.212536;
96;61.632000000;-0.705547;-0.203235;
97;61.826000000;-0.666551;-0.19035;
98;62.026000000;-0.633175;-0.179069;
99;62.226000000;-0.599508;-0.167029;
100;62.426000000;-0.565801;-0.154655;
101;62.626000000;-0.531804;-0.142559;
102;62.826000000;-0.497693;-0.130734;
103;63.026000000;-0.464112;-0.119947;
104;63.226000000;-0.433754;-0.111279;
105;63.426000000;-0.404296;-0.104256;
106;63.626000000;-0.372739;-0.097913;
107;63.826000000;-0.350123;-0.0939328;
108;64.026000000;-0.32015;-0.0890239;
109;64.226000000;-0.292647;-0.0855348;
110;64.426000000;-0.276877;-0.0839741;
111;64.627000000;-0.267418;-0.083362;
112;64.826000000;-0.271242;-0.0836455;
113;65.026000000;-0.301303;-0.0878779;
114;65.226000000;-0.330659;-0.0934412;
115;65.426000000;-0.356642;-0.0977844;
116;65.626000000;-0.38163;-0.099698;
117;65.826000000;-0.407114;-0.0990596;
118;66.026000000;-0.431267;-0.0961537;
119;66.226000000;-0.461211;-0.0889054;
120;66.426000000;-0.481191;-0.0818022;
121;66.626000000;-0.507084;-0.069032;
122;66.826000000;-0.531023;-0.0527292;
123;67.026000000;-0.556254;-0.0285753;
124;67.226000000;-0.579418;0.00476041;
125;67.426000000;-0.591629;0.0364842;
126;67.626000000;-0.596015;0.0699296;
127;67.826000000;-0.5927;0.103434;
128;68.026000000;-0.581712;0.135317;
129;68.226000000;-0.560159;0.168202;
130;68.427000000;-0.535402;0.19135;
131;68.626000000;-0.51117;0.206671;
132;68.826000000;-0.479285;0.22018;
133;69.026000000;-0.451109;0.227629;
